XYZ / 4h / BREAKOUT_MOMENTUM: done (0.4s, 369 candles)
XYZ / 1day / BREAKOUT_MOMENTUM: done (12.2s, 2678 candles)
XYZ / 1week / BREAKOUT_MOMENTUM: done (1.1s, 556 candles)
ROKU / 1h / BREAKOUT_MOMENTUM: done (14.9s, 3471 candles)
ROKU / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
ROKU / 1day / BREAKOUT_MOMENTUM: done (9.3s, 2211 candles)
ROKU / 1week / BREAKOUT_MOMENTUM: done (0.5s, 459 candles)
TWLO / 1h / BREAKOUT_MOMENTUM: done (15.7s, 3470 candles)
TWLO / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
TWLO / 1day / BREAKOUT_MOMENTUM: done (11.3s, 2530 candles)
TWLO / 1week / BREAKOUT_MOMENTUM: done (1.0s, 525 candles)
ZM / 1h / BREAKOUT_MOMENTUM: done (15.3s, 3471 candles)
ZM / 4h / BREAKOUT_MOMENTUM: done (0.7s, 493 candles)
ZM / 1day / BREAKOUT_MOMENTUM: done (7.1s, 1821 candles)
ZM / 1week / BREAKOUT_MOMENTUM: done (0.1s, 378 candles)
DDOG / 1h / BREAKOUT_MOMENTUM: done (14.8s, 3471 candles)
DDOG / 4h / BREAKOUT_MOMENTUM: done (1.3s, 493 candles)
DDOG / 1day / BREAKOUT_MOMENTUM: done (6.2s, 1715 candles)
DDOG / 1week / BREAKOUT_MOMENTUM: done (0.4s, 356 candles)
NET / 1h / BREAKOUT_MOMENTUM: done (15.6s, 3470 candles)
NET / 4h / BREAKOUT_MOMENTUM: done (1.1s, 493 candles)
NET / 1day / BREAKOUT_MOMENTUM: done (6.8s, 1719 candles)
NET / 1week / BREAKOUT_MOMENTUM: done (0.3s, 357 candles)
OKTA / 1h / BREAKOUT_MOMENTUM: done (14.0s, 3471 candles)
OKTA / 4h / BREAKOUT_MOMENTUM: done (0.8s, 493 candles)
OKTA / 1day / BREAKOUT_MOMENTUM: done (10.3s, 2331 candles)
OKTA / 1week / BREAKOUT_MOMENTUM: done (1.1s, 484 candles)
CRWD / 1h / BREAKOUT_MOMENTUM: done (16.0s, 3471 candles)
CRWD / 4h / BREAKOUT_MOMENTUM: done (0.8s, 493 candles)
CRWD / 1day / BREAKOUT_MOMENTUM: done (7.9s, 1784 candles)
CRWD / 1week / BREAKOUT_MOMENTUM: done (0.5s, 370 candles)
SNOW / 1h / BREAKOUT_MOMENTUM: done (15.0s, 3470 candles)
SNOW / 4h / BREAKOUT_MOMENTUM: done (0.8s, 493 candles)
SNOW / 1day / BREAKOUT_MOMENTUM: done (5.4s, 1465 candles)
SNOW / 1week / BREAKOUT_MOMENTUM: done (0.1s, 304 candles)
MSTR / 1h / BREAKOUT_MOMENTUM: done (14.7s, 3471 candles)
MSTR / 4h / BREAKOUT_MOMENTUM: done (0.8s, 493 candles)
MSTR / 1day / BREAKOUT_MOMENTUM: done (34.0s, 7068 candles)
MSTR / 1week / BREAKOUT_MOMENTUM: done (6.0s, 1466 candles)
COIN / 1h / BREAKOUT_MOMENTUM: done (14.4s, 3471 candles)
COIN / 4h / BREAKOUT_MOMENTUM: done (1.0s, 493 candles)
COIN / 1day / BREAKOUT_MOMENTUM: done (4.1s, 1321 candles)
COIN / 1week / BREAKOUT_MOMENTUM: done (0.1s, 274 candles)
DASH / 1h / BREAKOUT_MOMENTUM: done (15.2s, 3471 candles)
DASH / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
DASH / 1day / BREAKOUT_MOMENTUM: done (5.5s, 1406 candles)
DASH / 1week / BREAKOUT_MOMENTUM: done (0.1s, 292 candles)
UPST / 1h / BREAKOUT_MOMENTUM: done (14.6s, 3471 candles)
UPST / 4h / BREAKOUT_MOMENTUM: done (0.8s, 493 candles)
UPST / 1day / BREAKOUT_MOMENTUM: done (4.0s, 1401 candles)
UPST / 1week / BREAKOUT_MOMENTUM: done (0.1s, 291 candles)
SPY / 1h / TREND_PULLBACK: done (14.6s, 3470 candles)
SPY / 4h / TREND_PULLBACK: done (0.7s, 493 candles)
SPY / 1day / TREND_PULLBACK: done (40.1s, 8423 candles)
SPY / 1week / TREND_PULLBACK: done (7.4s, 1746 candles)
QQQ / 1h / TREND_PULLBACK: done (13.3s, 3471 candles)
