GBP/USD / 4h / VOLATILITY_SQUEEZE ma200: done (19.5s, 4997 candles)
GBP/USD / 1day / VOLATILITY_SQUEEZE ma200: done (19.5s, 5000 candles)
GBP/USD / 1week / VOLATILITY_SQUEEZE ma200: done (10.7s, 2898 candles)
USD/JPY / 1h / VOLATILITY_SQUEEZE ma200: done (17.7s, 4990 candles)
USD/JPY / 4h / VOLATILITY_SQUEEZE ma200: done (20.4s, 4997 candles)
USD/JPY / 1day / VOLATILITY_SQUEEZE ma200: done (19.9s, 5000 candles)
USD/JPY / 1week / VOLATILITY_SQUEEZE ma200: done (11.4s, 2897 candles)
USD/CHF / 1h / VOLATILITY_SQUEEZE ma200: done (18.6s, 4990 candles)
USD/CHF / 4h / VOLATILITY_SQUEEZE ma200: done (18.9s, 4997 candles)
USD/CHF / 1day / VOLATILITY_SQUEEZE ma200: done (19.2s, 5000 candles)
USD/CHF / 1week / VOLATILITY_SQUEEZE ma200: done (9.8s, 2898 candles)
EUR/GBP / 1h / VOLATILITY_SQUEEZE ma200: done (18.9s, 4990 candles)
EUR/GBP / 4h / VOLATILITY_SQUEEZE ma200: done (18.4s, 4997 candles)
EUR/GBP / 1day / VOLATILITY_SQUEEZE ma200: done (20.1s, 5000 candles)
EUR/GBP / 1week / VOLATILITY_SQUEEZE ma200: done (7.3s, 2099 candles)
EUR/JPY / 1h / VOLATILITY_SQUEEZE ma200: done (18.5s, 4990 candles)
EUR/JPY / 4h / VOLATILITY_SQUEEZE ma200: done (20.1s, 4997 candles)
EUR/JPY / 1day / VOLATILITY_SQUEEZE ma200: done (18.7s, 5000 candles)
EUR/JPY / 1week / VOLATILITY_SQUEEZE ma200: done (9.7s, 2691 candles)
GBP/JPY / 1h / VOLATILITY_SQUEEZE ma200: done (18.7s, 4990 candles)
GBP/JPY / 4h / VOLATILITY_SQUEEZE ma200: done (19.9s, 4997 candles)
GBP/JPY / 1day / VOLATILITY_SQUEEZE ma200: done (20.0s, 5000 candles)
GBP/JPY / 1week / VOLATILITY_SQUEEZE ma200: done (10.6s, 2897 candles)
AUD/USD / 1h / VOLATILITY_SQUEEZE ma200: done (13.7s, 4990 candles)
AUD/USD / 4h / VOLATILITY_SQUEEZE ma200: done (18.6s, 4997 candles)
AUD/USD / 1day / VOLATILITY_SQUEEZE ma200: done (19.3s, 5000 candles)
AUD/USD / 1week / VOLATILITY_SQUEEZE ma200: done (10.2s, 2898 candles)
NZD/USD / 1h / VOLATILITY_SQUEEZE ma200: done (18.7s, 4990 candles)
NZD/USD / 4h / VOLATILITY_SQUEEZE ma200: done (19.5s, 4997 candles)
NZD/USD / 1day / VOLATILITY_SQUEEZE ma200: done (20.0s, 5000 candles)
NZD/USD / 1week / VOLATILITY_SQUEEZE ma200: done (11.1s, 2897 candles)
USD/CAD / 1h / VOLATILITY_SQUEEZE ma200: done (18.1s, 4990 candles)
USD/CAD / 4h / VOLATILITY_SQUEEZE ma200: done (19.4s, 4997 candles)
USD/CAD / 1day / VOLATILITY_SQUEEZE ma200: done (19.5s, 5000 candles)
USD/CAD / 1week / VOLATILITY_SQUEEZE ma200: done (8.0s, 2325 candles)
EUR/USD / 1h / VOLATILITY_SQUEEZE ma150: done (17.8s, 4990 candles)
EUR/USD / 4h / VOLATILITY_SQUEEZE ma150: done (18.7s, 4997 candles)
EUR/USD / 1day / VOLATILITY_SQUEEZE ma150: done (19.9s, 5000 candles)
EUR/USD / 1week / VOLATILITY_SQUEEZE ma150: done (8.3s, 2201 candles)
GBP/USD / 1h / VOLATILITY_SQUEEZE ma150: done (13.9s, 4990 candles)
GBP/USD / 4h / VOLATILITY_SQUEEZE ma150: done (19.9s, 4997 candles)
GBP/USD / 1day / VOLATILITY_SQUEEZE ma150: done (19.5s, 5000 candles)
GBP/USD / 1week / VOLATILITY_SQUEEZE ma150: done (11.2s, 2898 candles)
USD/JPY / 1h / VOLATILITY_SQUEEZE ma150: done (18.6s, 4990 candles)
USD/JPY / 4h / VOLATILITY_SQUEEZE ma150: done (20.5s, 4997 candles)
USD/JPY / 1day / VOLATILITY_SQUEEZE ma150: done (19.7s, 5000 candles)
USD/JPY / 1week / VOLATILITY_SQUEEZE ma150: done (10.9s, 2897 candles)
USD/CHF / 1h / VOLATILITY_SQUEEZE ma150: done (18.8s, 4990 candles)
USD/CHF / 4h / VOLATILITY_SQUEEZE ma150: done (19.4s, 4997 candles)
USD/CHF / 1day / VOLATILITY_SQUEEZE ma150: done (19.8s, 5000 candles)
USD/CHF / 1week / VOLATILITY_SQUEEZE ma150: done (11.8s, 2898 candles)
EUR/GBP / 1h / VOLATILITY_SQUEEZE ma150: done (18.8s, 4990 candles)
EUR/GBP / 4h / VOLATILITY_SQUEEZE ma150: done (18.2s, 4997 candles)
EUR/GBP / 1day / VOLATILITY_SQUEEZE ma150: done (19.9s, 5000 candles)
EUR/GBP / 1week / VOLATILITY_SQUEEZE ma150: done (7.5s, 2099 candles)
EUR/JPY / 1h / VOLATILITY_SQUEEZE ma150: done (14.0s, 4990 candles)
EUR/JPY / 4h / VOLATILITY_SQUEEZE ma150: done (20.1s, 4997 candles)
EUR/JPY / 1day / VOLATILITY_SQUEEZE ma150: done (20.7s, 5000 candles)
EUR/JPY / 1week / VOLATILITY_SQUEEZE ma150: done (10.3s, 2691 candles)
GBP/JPY / 1h / VOLATILITY_SQUEEZE ma150: done (19.3s, 4990 candles)
GBP/JPY / 4h / VOLATILITY_SQUEEZE ma150: done (19.7s, 4997 candles)
GBP/JPY / 1day / VOLATILITY_SQUEEZE ma150: done (19.1s, 5000 candles)
GBP/JPY / 1week / VOLATILITY_SQUEEZE ma150: done (11.7s, 2897 candles)
AUD/USD / 1h / VOLATILITY_SQUEEZE ma150: done (13.6s, 4990 candles)
AUD/USD / 4h / VOLATILITY_SQUEEZE ma150: done (19.9s, 4997 candles)
AUD/USD / 1day / VOLATILITY_SQUEEZE ma150: done (20.2s, 5000 candles)
AUD/USD / 1week / VOLATILITY_SQUEEZE ma150: done (10.5s, 2898 candles)
NZD/USD / 1h / VOLATILITY_SQUEEZE ma150: done (18.2s, 4990 candles)
NZD/USD / 4h / VOLATILITY_SQUEEZE ma150: done (19.4s, 4997 candles)
NZD/USD / 1day / VOLATILITY_SQUEEZE ma150: done (20.3s, 5000 candles)
NZD/USD / 1week / VOLATILITY_SQUEEZE ma150: done (11.1s, 2897 candles)
USD/CAD / 1h / VOLATILITY_SQUEEZE ma150: done (19.3s, 4990 candles)
USD/CAD / 4h / VOLATILITY_SQUEEZE ma150: done (20.2s, 4997 candles)
